,AAPL,MSFT,GOOG,AMZN,TSLA,BRK-A,FB,NVDA,V,JPM,UNH,JNJ,BAC,WMT,PG,HD,MA,XOM,PFE,DIS,CVX,KO,ABBV,AVGO,PEP,CSCO,WFC,COST,LLY,ADBE
MAE,106.52130241251633,212.61478451634602,1773.2646668308657,2835.137748092359,412.56120386032245,352442.8146873025,266.06450062432225,122.11642591169088,202.40316903587373,121.837263719838,326.67351783622826,147.75750949386634,31.2578654444553,128.79905597272193,125.80419159131164,266.99771059839253,319.852754029969,46.77317961144046,36.137378655205666,148.7849882512101,90.50209464993543,49.286976343312425,95.8925969269274,381.9370094936315,137.56851954966487,45.0617987222617,35.15659948053888,335.03891405024734,175.98251745675645,463.0687332977845
MSE,11807.976234613478,46512.6925174222,3277152.282401361,8220360.936334332,203971.99748346364,126917793740.06554,72993.5624641827,16405.490001437727,41296.75225009416,15478.282253360272,109011.28602456256,21951.99568242384,1033.2501520000787,16682.34045517327,15925.963272049,73228.29715880893,103198.53168579022,2288.702340302933,1338.7539557058044,22895.73151985891,8394.078738423552,2446.6296580464596,9403.532239380029,154347.02036392153,19063.114050573353,2071.5163993428987,1343.2562157968634,113746.39224308431,32339.56001092506,220254.7872521485
RMSE,108.66451230559808,215.66801459053264,1810.2906624079353,2867.1171821769567,451.6325912547318,356255.2367896724,270.17320826496234,128.08391780952724,203.21602360565507,124.4117448368934,330.16857213333094,148.16205884916639,32.1442086852372,129.16013493014503,126.19811120634493,270.6072747706701,321.2452827448058,47.84038398991936,36.588986808953926,151.31335539158104,91.619205074174,49.46341737129026,96.97181157109539,392.87023349182556,138.06923643800366,45.513914348723056,36.650459967057216,337.26309054369455,179.83203277204277,469.313101513423
MAPE,16980.732254600774,32772.76155823977,290873.1116714477,356173.3701828874,103679.72726007413,49029441.3049164,37661.5063659649,29612.923183957326,24860.60887909589,17491.097382446107,49098.434087443304,18259.66084137254,4910.166258664993,15279.693177643494,17547.572804862084,40785.762615971624,38461.43632052596,inf,6746.35220231137,21178.5196066197,14910.539165473636,6306.674110092817,14639.243460405452,66509.80576593537,18710.226665967337,6637.439063188705,9007.44436823334,54915.62900317349,28453.18152340671,66999.45548903492
MPE,-16980.732254600774,-32772.76155823977,-290873.1116714477,-356173.3701828874,-103679.72726007413,-49029441.3049164,-37661.5063659649,-29612.923183957326,-24860.60887909589,-17491.097382446107,-49098.434087443304,-18259.66084137254,-4910.166258664993,-15279.693177643494,-17547.572804862084,-40785.762615971624,-38461.43632052596,-inf,-6746.35220231137,-21178.5196066197,-14910.539165473636,-6306.674110092817,-14639.243460405452,-66509.80576593537,-18710.226665967337,-6637.439063188705,-9007.44436823334,-54915.62900317349,-28453.18152340671,-66999.45548903492
