Date,AAPL,MSFT,GOOG,AMZN,BRK-A,NVDA,V,JPM,UNH,JNJ,BAC,WMT,PG,HD,MA,XOM,PFE,DIS,CVX,KO,AVGO,PEP,CSCO,WFC,COST,LLY,ADBE
2009-12-31,6.444381237030029,23.49338722229004,308.8324279785156,134.52000427246094,99200,4.289910793304443,20.057910919189453,30.6191463470459,25.439573287963867,44.96356201171875,12.931032180786133,40.374454498291016,41.90168762207031,21.85075569152832,24.065143585205078,42.58608627319336,10.957000732421875,28.09070587158203,47.19105911254883,19.632373809814453,13.908897399902344,42.72576141357422,17.43141746520996,19.62482452392578,43.977603912353516,24.205421447753906,36.779998779296875
2010-01-04,6.544686317443848,23.85565757751465,312.20477294921875,133.89999389648438,99600,4.246276378631592,20.2138614654541,31.524036407470703,26.31593894958496,45.15203094482422,13.471975326538086,40.9636344909668,42.24032974243164,21.654369354248047,24.145999908447266,43.18564224243164,11.402753829956055,27.93391990661621,48.459877014160156,19.646150588989258,14.342362403869629,43.03495407104492,17.97751235961914,19.86477279663086,44.155975341796875,24.279979705810547,37.09000015258789
2010-01-05,6.556003570556641,23.863365173339844,310.8299255371094,134.69000244140625,99710,4.308282852172852,19.98222541809082,32.13465118408203,26.274208068847656,44.62847137451172,13.909873962402344,40.55574035644531,42.254150390625,21.81298828125,24.074542999267578,43.354251861572266,11.2401123046875,27.864234924316406,48.803131103515625,19.40849494934082,14.448829650878906,43.554988861083984,17.897417068481445,20.410110473632812,44.02220153808594,23.85294532775879,37.70000076293945
2010-01-06,6.451720237731934,23.716915130615234,302.9942932128906,132.25,99850,4.335840702056885,19.713909149169922,32.31121063232422,26.532947540283203,44.991477966308594,14.073014259338379,40.46510314941406,42.053733825683594,21.737457275390625,24.039731979370117,43.72895812988281,11.203973770141602,27.716163635253906,48.80925750732422,19.401613235473633,14.562893867492676,43.11929702758789,17.780920028686523,20.439197540283203,44.59449768066406,24.029184341430664,37.619998931884766
2010-01-07,6.439794063568115,23.47027015686035,295.94073486328125,130.0,100000,4.2508673667907715,19.89737892150879,32.951263427734375,27.551197052001953,44.67037582397461,14.536678314208984,40.48775100708008,41.82567596435547,21.994260787963867,23.88265037536621,43.5915641784668,11.161806106567383,27.72487449645996,48.6253776550293,19.35338592529297,14.471640586853027,42.8452262878418,17.861011505126953,21.180856704711914,44.37894058227539,23.907176971435547,36.88999938964844
2010-01-08,6.482607841491699,23.632125854492188,299.8859558105469,133.52000427246094,100300,4.2600555419921875,19.952409744262695,32.870338439941406,27.29245948791504,44.82394790649414,14.407886505126953,40.2838020324707,41.77037811279297,21.888525009155273,23.891111373901367,43.416709899902344,11.252161026000977,27.768428802490234,48.7111930847168,18.995187759399414,14.578105926513672,42.7047004699707,17.955671310424805,20.984527587890625,44.059349060058594,23.724153518676758,36.689998626708984
2010-01-11,6.425420761108398,23.33152198791504,299.4326477050781,130.30999755859375,99999,4.200346946716309,19.895082473754883,32.75998306274414,27.476083755493164,44.8309211730957,14.536678314208984,40.94853591918945,41.60451126098633,21.269174575805664,23.497915267944336,43.903831481933594,11.342512130737305,27.31549072265625,49.57545471191406,19.380943298339844,14.669361114501953,42.65550231933594,17.90469741821289,20.94091033935547,44.11137771606445,24.049516677856445,36.209999084472656
2010-01-12,6.352331161499023,23.1773624420166,294.13751220703125,127.3499984741211,99350,4.0579609870910645,19.801048278808594,31.994882583618164,26.749948501586914,45.06825637817383,14.047255516052246,41.34133529663086,42.08136749267578,21.133220672607422,23.4847412109375,43.68524932861328,11.306371688842773,26.845134735107422,49.287376403808594,19.591045379638672,14.448829650878906,43.2528076171875,17.620725631713867,20.417387008666992,43.87353515625,23.968185424804688,35.65999984741211
2010-01-13,6.4419355392456055,23.393192291259766,292.4488220214844,129.11000061035156,99150,4.113077163696289,19.984521865844727,32.55399703979492,27.158918380737305,45.354496002197266,14.27050495147705,41.552825927734375,42.51676559448242,21.246517181396484,24.09524154663086,43.510379791259766,11.57141399383545,27.254518508911133,48.91346740722656,19.642709732055664,14.007755279541016,43.60417938232422,17.941104888916016,20.780941009521484,44.14854431152344,24.300315856933594,36.279998779296875
2010-01-14,6.404624938964844,23.863365173339844,293.82366943359375,127.3499984741211,99000,4.048775672912598,20.05331802368164,32.8776969909668,27.809925079345703,45.445228576660156,14.442227363586426,40.94853591918945,42.55824661254883,21.374919891357422,24.502552032470703,43.516639709472656,11.67381477355957,27.01934051513672,48.760231018066406,19.67715835571289,14.015361785888672,44.131221771240234,18.16682243347168,21.079057693481445,43.643131256103516,24.401996612548828,35.900001525878906
2010-01-15,6.297590732574463,23.786285400390625,288.91705322265625,127.13999938964844,97500,3.929356098175049,19.75518035888672,32.13465118408203,28.168821334838867,45.06825637817383,13.961395263671875,40.548179626464844,42.03300476074219,21.5788516998291,24.706674575805664,43.16065979003906,11.74007511138916,26.653507232666016,48.56407165527344,19.387836456298828,13.870872497558594,43.7728271484375,17.766353607177734,20.417387008666992,43.69517135620117,24.279979705810547,35.869998931884766
2010-01-19,6.576187610626221,23.97127914428711,292.71282958984375,127.61000061035156,100030,4.002843379974365,20.14735221862793,31.840377807617188,29.320613861083984,45.61977005004883,14.012908935546875,40.81255340576172,42.654998779296875,21.81298828125,24.904216766357422,43.26055908203125,12.047284126281738,27.010629653930664,48.83991622924805,19.43260955810547,13.543871879577637,43.80093002319336,18.094017028808594,20.562807083129883,43.814083099365234,25.357736587524414,36.95000076293945
